id,updated_at,shape,begin_at,end_at,disable,city,lng,points,area_id,radius,country,name,warning,type,lat,level
1920,1447945800,0,0,0,0,Greenville,-82.217491,"",2477,2098,840,"Greenville Spartanburg International Airport",0,0,34.895056,2
1921,1447945800,0,0,0,0,Gustavus,-135.708877,"",2481,1601,840,"Gustavus Airport",0,0,58.42615,2
1922,1447945800,0,0,0,0,Gedaref,31.359159,"",2482,1143,818,"Almaza Airport",0,0,30.09241,2
1923,1447945800,0,0,0,0,"Groote Eylandt",136.459294,"",2488,1648,36,"Groote Eylandt Airport",0,0,-13.973804,2
1924,1447945800,0,0,0,0,"Great Falls",-111.37064,"",2489,2386,840,"Great Falls International Airport",0,0,47.480071,2
1925,1447945800,0,0,0,0,"Rügen",13.331667,"",2490,539,276,"Rügen Airport",0,0,54.384167,2
1926,1447945800,0,0,0,0,"Glentanner Station",170.12847,"",2492,578,554,"Glentanner Airport",0,0,-43.910903,2
1927,1447945800,0,0,0,0,"Grants Pass",-123.387933,"",2494,832,840,"Grants Pass Airport",0,0,42.509623,2
1928,1447945800,0,0,0,0,"Columbus/W Point/Starkville",-88.591693,"",2495,1367,840,"Golden Triangle Regional Airport",0,0,33.448627,2
1929,1447945800,0,0,0,0,"",-79.317564,"",2497,1026,840,"Georgetown Airport",0,0,33.312663,2
1930,1447945800,0,0,0,0,Gettysburg,-77.273975,"",2499,679,840,"Gettysburg Airport",0,0,39.841951,2
1931,1447945800,0,0,0,0,"Guatemala City",-90.527463,"",2501,1593,320,"La Aurora Airport",0,0,14.583263,2
1932,1447945800,0,0,0,0,"Guerrero Negro",-114.023513,"",2502,1263,484,"Guerrero Negro Airport",0,0,28.025905,2
1933,1447945800,0,0,0,0,Gunnison,-106.92895,"",2503,1819,840,"Gunnison Crested Butte Regional Airport",0,0,38.536101,2
1934,1447945800,0,0,0,0,"Gulf Shores, AL",-87.669323,"",2506,1849,840,"Jack Edwards Airport",0,0,30.289444,2
1935,1447945800,0,0,0,0,Gunnedah,150.247726,"",2508,1013,36,"Gunnedah Airport",0,0,-30.957509,2
1936,1447945800,0,0,0,0,"Güiria",-62.312902,"",2509,1006,862,"Guiria Airport",0,0,10.574236,2
1937,1447945800,0,0,0,0,"Guaratinguetá",-45.205034,"",2510,844,76,"Guaratinguetá Airport",0,0,-22.79167,2
1938,1447945800,0,0,0,0,"Brisbane Grove",149.726738,"",2511,676,36,"Goulburn Airport",0,0,-34.809322,2
1939,1447945800,0,0,0,0,"Hagåtña, Guam International Airport",144.799425,"",2512,2644,316,"Antonio B. Won Pat International Airport",0,0,13.486144,2
1940,1447945800,0,0,0,0,Gallup,-108.789307,"",2515,1321,840,"Gallup Municipal Airport",0,0,35.511059,2
1941,1447945800,0,0,0,0,Guanare,-69.755317,"",2516,902,862,"Guanare Airport",0,0,9.02686,2
1942,1447945800,0,0,0,0,Gurney,150.333904,"",2517,983,598,"Gurney Airport",0,0,-10.310449,2
1943,1447945800,0,0,0,0,"Peru, Indiana",-86.15016,"",2518,2666,840,"Grissom Afb Airport",0,0,40.65014,2
1944,1447945800,0,0,0,0,"Gütersloh",8.306389,"",2519,1426,276,"Gütersloh Airport",0,0,51.922779,2
